,post_text,followers,friends,favourites,statuses,retweets,label,Day_of_week,Exact_data,year,month,day,time
39,"RT @craftsbeautiful: Happy #Monday, crafters! If you need a bit of a pick-me-up to get you started, check this out: http://t.co/5xa87FWND4 …",84,211,251,837,4,1,Mon,2015-08-24,2015,8,24,07:41:37
40,They don't sleep like this now 💕... #catsoftwitter http://t.co/sya7RRr2Fa http://t.co/AgJ2tx5f93,84,211,251,837,0,1,Mon,2015-08-24,2015,8,24,07:36:23
41,Truly so awful 😟 https://t.co/jI4Lw4K8co,84,211,251,837,0,1,Mon,2015-08-24,2015,8,24,07:12:24
42,I don't understand this. What does it achieve?!😕Palmyra's Baalshamin temple 'blown up by IS' http://t.co/XvuLGzu73Q,84,211,251,837,0,1,Mon,2015-08-24,2015,8,24,07:10:25
43,"RT @designtaxi: Cigarettes made out of green tea leaves, claim to help you quit smoking http://t.co/F7MVaZdBis http://t.co/HaKwgTO1fO",84,211,251,837,34,1,Mon,2015-08-24,2015,8,24,06:21:48
44,Not having to get up in the morning for two whole weeks. Bliss. 😊,84,211,251,837,0,1,Sun,2015-08-23,2015,8,23,21:48:16
45,I feel like an invisible hand is trying to remove both my eyeballs with a spoon 😖,84,211,251,837,0,1,Sun,2015-08-23,2015,8,23,20:06:21
46,RT @designtaxi: ‘Hair tapestry’ is the latest hair trend http://t.co/nEqzTNqVjJ http://t.co/WrjBKlcVvo,84,211,251,837,12,1,Sun,2015-08-23,2015,8,23,20:01:04
47,It feels like #shoreham coverage and alt media has now gone beyond news to 'ghoulish'...,84,211,251,837,0,1,Sun,2015-08-23,2015,8,23,19:25:57
48,"@ThomasEvansUKIP it's The Mail, it's entirely their MO. Mail Online is barely 'news' 😕",84,211,251,837,0,1,Sun,2015-08-23,2015,8,23,19:21:55
49,@OffensiveBanter it's so awful 😟,84,211,251,837,0,1,Sun,2015-08-23,2015,8,23,19:03:08
50,The awfulness of it continues. Heartbreaking 😟 https://t.co/wdZELWA3ah,84,211,251,837,0,1,Sun,2015-08-23,2015,8,23,18:59:52
51,Lazy afternoon snooze with my kitty cat... #lazysunday,84,211,251,837,0,1,Sun,2015-08-23,2015,8,23,16:30:38
52,The pain and heartbreak of tragedy is such a confusing emotion. I feel such sadness for my south coast friends #shoreham,84,211,251,837,1,1,Sun,2015-08-23,2015,8,23,15:56:22
53,Pouring with rain in #cambridge. That sun didn't last long... 😕,84,211,251,837,1,1,Sun,2015-08-23,2015,8,23,14:59:01
54,RT @brightonargus: Friends of @WorthingUtdFC footballers pay tribute to to their teammates - http://t.co/dtJkxu7O3J http://t.co/hDrCAJ10c9,84,211,251,837,6,1,Sun,2015-08-23,2015,8,23,14:24:49
55,I've done nothing for the last 40 minute. Enough. I need to stand up and do stuff #lazysunday,84,211,251,837,0,1,Sun,2015-08-23,2015,8,23,13:04:55
56,RT @craftsbeautiful: Comfy this Sunday morning? Our cushion blog post will only make you more snug! http://t.co/EMSga5PBF3 http://t.co/tiyZ…,84,211,251,837,1,1,Sun,2015-08-23,2015,8,23,07:31:07
57,RT @brightonargus: A27 diversion route likely to remain in place all day after Shoreham air crash - http://t.co/P7NroQNpgi http://t.co/lfLO…,84,211,251,837,28,1,Sun,2015-08-23,2015,8,23,06:50:46
58,"@JackDineen1 new media highlights the hypocrisy of humans. Tragedy is global, but many choose to ignore what's not on their doorstep x",84,211,251,837,0,1,Sun,2015-08-23,2015,8,23,06:44:58
59,I hope the pilot pulls through. There's been enough death today at #shoreham 😟 https://t.co/6whLQe3pk8,84,211,251,837,1,1,Sat,2015-08-22,2015,8,22,20:29:57
60,@Sarah_Booker @yorkshireguy I keep seeing comments that the pilot was saved. If true I find that quite incredible,84,211,251,837,0,1,Sat,2015-08-22,2015,8,22,16:37:55
61,"@Sarah_Booker @yorkshireguy urgh, awful 😢",84,211,251,837,0,1,Sat,2015-08-22,2015,8,22,16:11:14
62,"@yorkshireguy @Sarah_Booker I can't shake the image of the unsuspecting people, driving along, minding their own business. Tragically sad.",84,211,251,837,0,1,Sat,2015-08-22,2015,8,22,16:09:15
63,"@Sarah_Booker *this*. Dear god! Horrific image 😟 Awful, awful, awful 😢 https://t.co/gG0rUMNvmm",84,211,251,837,0,1,Sat,2015-08-22,2015,8,22,16:01:22
64,RT @BBCBreaking: 7 people confirmed dead after plane crashed into several vehicles on A27 during #Shoreham Airshow http://t.co/iSmQGJY1eB,84,211,251,837,1213,1,Sat,2015-08-22,2015,8,22,15:54:39
65,@Sarah_Booker BBC reporting 7 fatalities so far 😟 Just so awful,84,211,251,837,0,1,Sat,2015-08-22,2015,8,22,15:45:53
66,Toaster shopping is needlessly confusing...,84,211,251,837,0,1,Sat,2015-08-22,2015,8,22,15:34:09
67,"Finding it hard to find a 'funky' decent quality toaster at a reasonable price. All silver, boring or cheap looking... #firstworldproblems",84,211,251,837,0,1,Sat,2015-08-22,2015,8,22,15:28:28
68,RT @BBCSussex: This very sad footage has been released of the #Shoreham air crash. The content is obviously distressing. http://t.co/aG2sWz…,84,211,251,837,69,1,Sat,2015-08-22,2015,8,22,15:21:36
69,@Sarah_Booker I had the same thought 😟,84,211,251,837,0,1,Sat,2015-08-22,2015,8,22,14:32:43
70,"What an awful, awful tragedy. Let's hope the casualties are few 😟 https://t.co/fKRqw7XRHP",84,211,251,837,0,1,Sat,2015-08-22,2015,8,22,14:27:05
71,So true 💕 http://t.co/OC0WW3jUQB,84,211,251,837,0,1,Sat,2015-08-22,2015,8,22,07:44:03
72,Sofa shopping! Whoop! 🎉,84,211,251,837,0,1,Sat,2015-08-22,2015,8,22,06:22:55
73,My cat is always overjoyed to see me every morning. That kind of love is priceless 💕😊,84,211,251,837,0,1,Sat,2015-08-22,2015,8,22,06:15:30
74,@jessgrace_ beach trip 😉,84,211,251,837,0,1,Sat,2015-08-22,2015,8,22,05:47:32
75,@jessgrace_ are you going to go?,84,211,251,837,0,1,Sat,2015-08-22,2015,8,22,05:29:25
76,"It's dusk, but warm. Cool 😊💕 http://t.co/iZfy86TPbG",84,211,251,837,0,1,Fri,2015-08-21,2015,8,21,19:49:25
77,@MrBenBrown awesome motovlogs! Your commentary is great fun. Now I want a bike... 😉,84,211,251,837,0,1,Fri,2015-08-21,2015,8,21,18:50:29
78,RT @JasonLea69: #dolphins spotted heading east from #Hove keep a look out! @brightonargus,84,211,251,837,2,1,Fri,2015-08-21,2015,8,21,16:52:19
79,Just finished a service centre call that didn't make me want to cry or punch something. Good work Eon 👍🏼,84,211,251,837,0,1,Fri,2015-08-21,2015,8,21,16:33:25
80,RT @CambridgeNewsUK: Man taken to hospital after suffering arm wrestling injury on Mill Road http://t.co/4vIAhxYS6g,84,211,251,837,3,1,Fri,2015-08-21,2015,8,21,16:27:44
81,@EONhelp you too! ☀️,84,211,251,837,0,1,Fri,2015-08-21,2015,8,21,16:13:49
82,"@EONhelp hi, thx. Yes, I found it in the end and spoke with a nice, helpful young lady. All sorted. Thx.",84,211,251,837,0,1,Fri,2015-08-21,2015,8,21,16:11:32
83,"@EONhelp re my last tweet, don't worry, spoke to v helpful young lady. All sorted. Thx!",84,211,251,837,0,1,Fri,2015-08-21,2015,8,21,16:10:35
84,"@EONhelp hi, I'm trying to find a number to phone for a new account but can't find it. Please can you advise. Thx.",84,211,251,837,0,1,Fri,2015-08-21,2015,8,21,16:00:24
85,Fragile egos and umbrage taken in a blink. I need a break.,84,211,251,837,0,1,Fri,2015-08-21,2015,8,21,09:11:28
86,RT @DT_Kenilworth: Our dogs are desperate for treats!Ben and his friends would be so grateful for any donations. @DogsTrust http://t.co/QE0…,84,211,251,837,44,1,Fri,2015-08-21,2015,8,21,08:28:44
87,Two weeks off. I can't f'ing wait! I need to get away from work now.,84,211,251,837,0,1,Fri,2015-08-21,2015,8,21,08:17:08
88,RT @homemade: 15 things you didn't know you could do with Malteasers and they are all epic http://t.co/lmcWqeKIpp http://t.co/BDeyNVm5BD,84,211,251,837,6,1,Fri,2015-08-21,2015,8,21,07:31:34
89,Feeling a strange mix of excited and sad. Such a big change looming. Very liberating in so many ways but #lifeischanging,84,211,251,837,0,1,Fri,2015-08-21,2015,8,21,07:30:46
90,This is the last time I'm going to take this bus to work. Feels weird.,84,211,251,837,0,1,Fri,2015-08-21,2015,8,21,07:28:32
91,... I need to care less but don't want to have a hard heart 😕,84,211,251,837,0,1,Fri,2015-08-21,2015,8,21,06:46:16
92,I don't know why I allow myself to feel such disappointment in someone even after all this time...,84,211,251,837,0,1,Fri,2015-08-21,2015,8,21,06:45:36
93,Last day in the office for 2 weeks. Whoop! 😊,84,211,251,837,0,1,Fri,2015-08-21,2015,8,21,05:27:28
94,Horrible muggy weather #cambridge #weather,84,211,251,837,0,1,Thu,2015-08-20,2015,8,20,16:56:21
95,"Not, however, going to miss living on a road where people drive like lunatics...",84,211,251,837,0,1,Thu,2015-08-20,2015,8,20,16:50:47
96,Walking home... occurs to me that 'walking' home won't be possible soon. I will miss that...,84,211,251,837,0,1,Thu,2015-08-20,2015,8,20,16:36:18
97,Wondering if this will turn out to be Raymond... 😕 https://t.co/8La9quYnv2,84,211,251,837,0,1,Thu,2015-08-20,2015,8,20,12:59:29
98,I’ve decided that my life NEEDS a pink cuddler chair(bed) 😁💗🏡,84,211,251,837,0,1,Thu,2015-08-20,2015,8,20,11:08:29
99,I love this story  https://t.co/njKcbjQSPG,84,211,251,837,0,1,Thu,2015-08-20,2015,8,20,10:03:00
100,Good luck to all the kids getting their GCSE results today 🎓 #resultsday,84,211,251,837,0,1,Thu,2015-08-20,2015,8,20,07:40:55
101,No people &amp; no traffic... where is everyone? #quietcambridge,84,211,251,837,0,1,Thu,2015-08-20,2015,8,20,07:02:50
102,Can faffing be considered a hobby? I'm very good at that...,84,211,251,837,0,1,Thu,2015-08-20,2015,8,20,06:30:59
103,"This, absolutely this 💜 http://t.co/No4nlwFU0b",84,211,251,837,0,1,Thu,2015-08-20,2015,8,20,06:09:57
104,All I can think about right now is sofa shopping. Excited! lol 🏡🎉,84,211,251,837,0,1,Thu,2015-08-20,2015,8,20,06:05:41
105,I suppose I should get up...,84,211,251,837,0,1,Thu,2015-08-20,2015,8,20,05:10:24
106,Need to sleep but it's been an exciting day and I'm still buzzed 😁🏡,84,211,251,837,0,1,Wed,2015-08-19,2015,8,19,22:43:18
107,Mini hog earlier this evening. One of two that have moved in 💕 http://t.co/29co4uhEm0,84,211,251,837,0,1,Wed,2015-08-19,2015,8,19,22:40:27
108,"RT @designtaxi: The best times to post on Facebook, Instagram, Twitter http://t.co/Q96mJITd86 http://t.co/VtRkDF14tB",84,211,251,837,24,1,Tue,2015-08-18,2015,8,18,06:31:42
109,"Another milestone day... insurance in place, final viewing tonight, deposit prepared, exchange imminent 👍🏼 😊",84,211,251,837,0,1,Tue,2015-08-18,2015,8,18,06:17:38
110,This is so me 😁 http://t.co/l7D49IpUgk,84,211,251,837,0,1,Tue,2015-08-18,2015,8,18,06:15:03
111,"I miss you, every single day. I don't think you know that. Still, it's true 💕",84,211,251,837,0,1,Tue,2015-08-18,2015,8,18,06:04:15
112,There's either an eyelash or an elephant in my eye. Either way the net result is the same... #pain,84,211,251,837,0,1,Mon,2015-08-17,2015,8,17,23:05:14
113,"RT @Elephantopia: ELEPHANT FACT OF THE DAY: An elephant herd is considered one of the most closely knit societies of any animal,... http://…",84,211,251,837,79,1,Mon,2015-08-17,2015,8,17,20:18:54
114,"@CeliaHammond my beautiful Spopie, adopted from CHAT in 2007. Loving the ☀️ last week 💗 #blackcatappreciationday http://t.co/ccLqLmsYPr",84,211,251,837,3,1,Mon,2015-08-17,2015,8,17,17:42:03
115,@Nimmykins do you still use this account?,84,211,251,837,0,1,Mon,2015-08-17,2015,8,17,16:16:11
116,@Paulamanning6 @RSPCA_official what a beauty!,84,211,251,837,0,1,Mon,2015-08-17,2015,8,17,16:12:08
117,Interesting reading... BBC News - Better diagnosis call for adults with ADHD http://t.co/ExEOX2R8CA,84,211,251,837,0,1,Mon,2015-08-17,2015,8,17,15:45:14
118,"@RSPCA_official this is my girl, Spopie #blackcatappreciationday http://t.co/mgDEVpbQ3O",84,211,251,837,4,1,Mon,2015-08-17,2015,8,17,11:46:32
119,Cementing my status as ‘that crocheting weirdo’ in the staff cafe... 😁,84,211,251,837,0,1,Mon,2015-08-17,2015,8,17,11:22:45
120,Hear hear  https://t.co/qWjDXE8Eww,84,211,251,837,0,1,Mon,2015-08-17,2015,8,17,11:14:15
121,Never thought I'd say this but I'm glad for the distraction of work. Something to keep me productive and organised...,84,211,251,837,0,1,Mon,2015-08-17,2015,8,17,11:13:49
122,It feels autumnal out all of a sudden... 🍂🍁,84,211,251,837,0,1,Mon,2015-08-17,2015,8,17,09:47:09
123,Made Jess a cake... 🎂 http://t.co/0DIPzH62iM,84,211,251,837,0,1,Mon,2015-08-17,2015,8,17,07:42:09
124,RT @CambridgeNewsUK: Community rallies behind former soldier who was seen begging at the Beehive Centre http://t.co/n4D4rY347m http://t.co/…,84,211,251,837,4,1,Mon,2015-08-17,2015,8,17,06:56:01
125,RT @abigail_titmuss: 5yrs ago a puppy was abandoned in Ireland. @DogsTrust took him to London. I adopted him. Today he swims in California …,84,211,251,837,47,1,Mon,2015-08-17,2015,8,17,06:55:29
126,I miss you every single day. Some days it feels like being gut-punched.,84,211,251,837,0,1,Mon,2015-08-17,2015,8,17,06:52:00
127,House smells of cake... 😍🎂,84,211,251,837,0,1,Sun,2015-08-16,2015,8,16,14:45:39
128,Cotton granny square: pink and grey #crochet #grannysquare http://t.co/ZQzUv3mbEX,84,211,251,837,0,1,Sun,2015-08-16,2015,8,16,11:02:55
129,"I've had my little car a year today. Happy Birthday little car, still going strong 🎉🚘",84,211,251,837,0,1,Sun,2015-08-16,2015,8,16,09:17:11
130,A bad week calls for #comfortfood http://t.co/pamCWA4299,84,211,251,837,0,1,Sat,2015-08-15,2015,8,15,20:14:08
131,I ❤️ Ely 😊💕 #ely #cambridgeshire https://t.co/SryXXpkJlQ,84,211,251,837,0,1,Sat,2015-08-15,2015,8,15,13:59:09
132,Gorgeous day for a drive to Ely @ Ely Catherdral https://t.co/J9sd3rju7k,84,211,251,837,0,1,Sat,2015-08-15,2015,8,15,09:39:56
133,@jessgrace_ I thought you said I could have him? 😉,84,211,251,837,0,1,Fri,2015-08-14,2015,8,14,18:57:31
134,@Sarah_Booker it looks awful down there. I hope you're okay xx https://t.co/E5oaLT18Yx,84,211,251,837,0,1,Thu,2015-08-13,2015,8,13,12:54:50
135,RT @brightonargus: In pictures: Severe weather hits Sussex - http://t.co/QGXilqMxMi http://t.co/wJCxwF2vr2,84,211,251,837,10,1,Thu,2015-08-13,2015,8,13,12:52:45
136,Block 12: another traditional #granny-square #crochet #crochetblanket #afghan http://t.co/DfaZPxheqH,84,211,251,837,0,1,Wed,2015-08-12,2015,8,12,22:14:22
137,Hog time! 💕 #hedgehog http://t.co/txlXnmZwgB,84,211,251,837,0,1,Wed,2015-08-12,2015,8,12,20:53:31
138,This http://t.co/9ckfTcg4to,84,211,251,837,0,1,Wed,2015-08-12,2015,8,12,18:55:01
139,"This I know: don't crochet when tipsy, angry or sad. Too many extremes and crochet don't mix for me...",84,211,251,837,0,1,Wed,2015-08-12,2015,8,12,18:38:25
140,"Feeling emotionally drained. Time for an easy, stress free evening. Crochet and the Penguins of Madagascar 🐧",84,211,251,837,0,1,Wed,2015-08-12,2015,8,12,18:33:20
141,RT @richardbranson: Read this wonderful blog about elephant conservation in Zimbabwe: http://t.co/MByWtcAElX #WorldElephantDay http://t.co/…,84,211,251,837,469,1,Wed,2015-08-12,2015,8,12,18:21:46
143,"RT @AstronautAbby: #AstroLuca2013 RT @astro_luca: Arriving in #Queensland, we’re welcomed by a riveting, colorful nature #Australia http://…",84,211,251,837,62,1,Wed,2015-08-12,2015,8,12,18:21:42
144,RT @BBCCambs: Aboard the aquatic combines 'harvesting' weeds in Cambs waterways http://t.co/oROpiSiWk2 - @dottymcl 07:50 http://t.co/9V5Afb…,84,211,251,837,9,1,Wed,2015-08-12,2015,8,12,17:32:43
145,"This, yep http://t.co/J8chAUgPTy",84,211,251,837,0,1,Tue,2015-08-11,2015,8,11,22:55:49
146,"Big hoggle, out for his supper tonight. He's a magical little beastie 💗 http://t.co/z8ECvjJG46",84,211,251,837,0,1,Tue,2015-08-11,2015,8,11,22:42:09
147,RT @RSPCA_official: Marley &amp; Zena on #DogRescuers looking fab after rescue from owner who let them to almost starve. Owning a dog is a priv…,84,211,251,837,18,1,Tue,2015-08-11,2015,8,11,20:28:43
148,RT @Protect_Wldlife: Indeed! http://t.co/wK9r6khTaj,84,211,251,837,842,1,Tue,2015-08-11,2015,8,11,20:26:07
149,Such a magical sky tonight. It changes in seconds #nofilter http://t.co/7Ms2AwwgQY,84,211,251,837,0,1,Tue,2015-08-11,2015,8,11,19:39:20
150,Beautiful sky tonight #nofilter http://t.co/C3DI8rp0bq,84,211,251,837,0,1,Tue,2015-08-11,2015,8,11,19:29:46
151,A rare Tuesday treat for dinner #comfortfood https://t.co/9LEtZ3J7NN,84,211,251,837,0,1,Tue,2015-08-11,2015,8,11,19:12:25
152,Bought today. Can't decide if this is super organised or waaay too early... http://t.co/q73bhZqJLn,84,211,251,837,0,1,Tue,2015-08-11,2015,8,11,17:54:16
153,"@lilypebbles sorry to hear this Lily. Pets are family, and it's heartbreaking when they die. Dixie had a lovely life with you x",84,211,251,837,0,1,Tue,2015-08-11,2015,8,11,17:49:06
154,Must remember this... http://t.co/Pq9N006MBF,84,211,251,837,0,1,Tue,2015-08-11,2015,8,11,15:37:01
155,Gorilla Has Amazing Reaction When Reunited With Man That Took Care Of Him For 5 Years http://t.co/wul3hxTvGR,84,211,251,837,0,1,Mon,2015-08-10,2015,8,10,07:15:29
156,RT @designtaxi: Test your eyes by playing this fast-paced color-matching game http://t.co/hFramEin83 http://t.co/qDUPDbDRNq,84,211,251,837,23,1,Sun,2015-08-09,2015,8,9,22:55:30
157,"I scored 447 points at KOLOR, a game where you have to guess colors to score high!",84,211,251,837,0,1,Sun,2015-08-09,2015,8,9,22:55:22
158,"Awake. Mind racing. Need to sleep, dammit! 😟 #insomnia",84,211,251,837,0,1,Sun,2015-08-09,2015,8,9,22:51:40
159,Square 11 done #crochet #crochetblanket http://t.co/4EHqftYzvt,84,211,251,837,0,1,Sun,2015-08-09,2015,8,9,22:34:17
160,"@the_candourist glad to see that you survived the brutality of the desert. Stay strong, be safe",84,211,251,837,0,1,Sun,2015-08-09,2015,8,9,22:32:44
161,I’ve just remembered that the new house has  range cooker. Whoop! Looking forward to road testing it 😊,84,211,251,837,0,1,Sun,2015-08-09,2015,8,9,18:40:36
162,Square 10 / lacy #crochet / pale blue DK yarn #crocheting #crochetblanket http://t.co/VRVVn6vqoH,84,211,251,837,0,1,Sun,2015-08-09,2015,8,9,14:39:13
163,9 squares made #crochet #crocheting http://t.co/mROMYKM0tA,84,211,251,837,1,1,Sun,2015-08-09,2015,8,9,13:20:48
164,RT @CambridgeNewsUK: Have you had a look around Milton Country Park? We've found some of its prettiest spots http://t.co/wnbSmqq5hs http://…,84,211,251,837,11,1,Sun,2015-08-09,2015,8,9,10:31:32
165,RT @twistedthread: Happy Sunday! #BorntoSew http://t.co/pmV7hEWAZW,84,211,251,837,2,1,Sun,2015-08-09,2015,8,9,10:31:05
166,"Deckchair in the sun, what's not to love? ☀️💕😎 #CatsOfTwitter http://t.co/VEGr1rwUag",84,211,251,837,0,1,Sun,2015-08-09,2015,8,9,10:12:44
167,Watching Pitch Perfect 2... Pat Benatar - We Belong https://t.co/WLLJ5EN5UY,84,211,251,837,0,1,Sat,2015-08-08,2015,8,8,21:28:17
168,"Natalie Imbruglia, where is she now...?",84,211,251,837,0,1,Sat,2015-08-08,2015,8,8,21:15:27
169,Two hoggles out for dinner so far tonight... #hedgehog http://t.co/ujiXe60Csl,84,211,251,837,0,1,Sat,2015-08-08,2015,8,8,20:59:32
170,RT @bhcitynews: #Brighton student chosen to exhibit alongside Hogarth and Reynolds at National Portrait Gallery http://t.co/4tiSQ7JM61,84,211,251,837,9,1,Sat,2015-08-08,2015,8,8,12:59:03
171,@Woof_ALL_4_PETS beautiful kitty!,84,211,251,837,0,1,Sat,2015-08-08,2015,8,8,12:57:51
172,@ViviannaMakeup what a lovely kitchen!,84,211,251,837,0,1,Sat,2015-08-08,2015,8,8,12:55:45
173,RT @CambridgeNewsUK: 18 fun things to do in Cambridgeshire in September http://t.co/U79AgwlxOp http://t.co/7wtocGuE9r,84,211,251,837,0,1,Sat,2015-08-08,2015,8,8,12:14:23
174,Can you see me? 😎 #WorldCatDay http://t.co/D9tBTMHLsc,84,211,251,837,0,1,Sat,2015-08-08,2015,8,8,12:07:05
175,RT @DogsTrust: These pups can't be cuddled due to a horrible skin infection. @DT_Essex provide the TLC... http://t.co/Yy1IW5RULj http://t.c…,84,211,251,837,47,1,Sat,2015-08-08,2015,8,8,12:06:18
176,"It's not your chair, it's all mine! 💗#worldcatday http://t.co/HrwdUOKSYG",84,211,251,837,0,1,Sat,2015-08-08,2015,8,8,12:01:41
177,RT @CambridgeNewsUK: The Cambridgeshire Cook Book is out now! http://t.co/wIma0jCgmm http://t.co/Goz1FfmDId,84,211,251,837,3,1,Sat,2015-08-08,2015,8,8,11:44:19
178,"RT @CambridgeNewsUK: Most A-level predicted grades are wrong, Cambridge Assessment finds http://t.co/8UiyJMJH3U",84,211,251,837,0,1,Sat,2015-08-08,2015,8,8,11:43:40
179,I might have completed on the house by this time next week. Whoop! 🎉🏡,84,211,251,837,0,1,Sat,2015-08-08,2015,8,8,11:25:11
180,@MrBenBrown just watched you &amp; Steve get your tats. Looked painless! I want now 👍🏼,84,211,251,837,0,1,Sat,2015-08-08,2015,8,8,11:13:24
181,Keeping me company while I work ❤️ #WorldCatDay @CatsProtection http://t.co/G4FLZSvK6P,84,211,251,837,0,1,Sat,2015-08-08,2015,8,8,10:51:03
